Letter,Correct,Total,Accuracy
N,46,90,51.11111111111111
M,47,90,52.22222222222223
O,49,90,54.44444444444444
S,56,90,62.22222222222222
Q,56,90,62.22222222222222
A,59,90,65.55555555555556
P,68,90,75.55555555555556
Z,72,90,80.0
X,76,90,84.44444444444444
E,77,90,85.55555555555556
D,80,90,88.88888888888889
T,80,90,88.88888888888889
R,83,90,92.22222222222223
V,83,90,92.22222222222223
I,84,90,93.33333333333333
J,85,90,94.44444444444444
Y,86,90,95.55555555555556
F,86,90,95.55555555555556
U,86,90,95.55555555555556
K,87,90,96.66666666666667
H,87,90,96.66666666666667
B,87,90,96.66666666666667
C,88,90,97.77777777777777
G,88,90,97.77777777777777
L,89,90,98.88888888888889
W,89,90,98.88888888888889
