True Letter,Predicted As,Count,Percentage
M,C,42,46.666666666666664
N,C,41,45.55555555555556
O,C,40,44.44444444444444
Q,C,34,37.77777777777778
S,C,32,35.55555555555556
A,C,30,33.33333333333333
P,C,22,24.444444444444443
Z,C,17,18.88888888888889
E,C,13,14.444444444444443
X,C,13,14.444444444444443
D,C,10,11.11111111111111
T,C,10,11.11111111111111
I,C,6,6.666666666666667
J,C,5,5.555555555555555
R,C,5,5.555555555555555
V,U,4,4.444444444444445
Y,C,4,4.444444444444445
V,C,3,3.3333333333333335
U,C,3,3.3333333333333335
H,C,3,3.3333333333333335
S,E,2,2.2222222222222223
N,M,2,2.2222222222222223
B,C,2,2.2222222222222223
K,C,2,2.2222222222222223
G,C,2,2.2222222222222223
F,B,2,2.2222222222222223
N,Q,1,1.1111111111111112
U,V,1,1.1111111111111112
B,E,1,1.1111111111111112
X,Z,1,1.1111111111111112
C,A,1,1.1111111111111112
W,C,1,1.1111111111111112
C,O,1,1.1111111111111112
F,U,1,1.1111111111111112
F,C,1,1.1111111111111112
A,Q,1,1.1111111111111112
R,Z,1,1.1111111111111112
R,S,1,1.1111111111111112
K,X,1,1.1111111111111112
L,C,1,1.1111111111111112
M,S,1,1.1111111111111112
O,E,1,1.1111111111111112
Z,I,1,1.1111111111111112
